cell_id_dna	ptime	ptime2
253	AS-606021-LR-56130_AS-621309-LR-56630	1.81756719847048	1.75927301076955
254	AS-606023-LR-56130_AS-621311-LR-56630	1.66047595296491	1.63346839760037
255	AS-606025-LR-56130_AS-621313-LR-56630	4.96951795372726	NA
256	AS-606027-LR-56130_AS-621315-LR-56630	1.08183100024536	1.07965199694993
257	AS-606031-LR-56130_AS-621319-LR-56630	0.84286113476093	0.839283603038118
258	AS-606033-LR-56130_AS-621321-LR-56630	2.41324246384136	NA
259	AS-606035-LR-56130_AS-621323-LR-56630	2.57968040613553	NA
260	AS-606037-LR-56130_AS-621325-LR-56630	1.91991797442248	2.09774629729086
261	AS-606039-LR-56130_AS-621327-LR-56630	3.49255798999273	NA
262	AS-606041-LR-56130_AS-621329-LR-56630	2.83137469710843	NA
263	AS-606043-LR-56130_AS-621331-LR-56630	1.54804535984389	1.5611556818023
264	AS-606045-LR-56130_AS-621333-LR-56630	0.825368641844169	0.820148140373998
265	AS-606047-LR-56130_AS-621335-LR-56630	2.7120813057114	NA
266	AS-606049-LR-56130_AS-621337-LR-56630	1.81081780960277	1.72944194577253
267	AS-606051-LR-56130_AS-621339-LR-56630	1.67747473380868	1.77428704657838
268	AS-606055-LR-56130_AS-621343-LR-56630	2.17978283951301	NA
269	AS-606057-LR-56130_AS-621345-LR-56630	2.62702613938893	NA
270	AS-606069-LR-56130_AS-621357-LR-56630	2.36109616249924	NA
271	AS-606079-LR-56130_AS-621367-LR-56630	2.51674702018412	NA
272	AS-606081-LR-56130_AS-621369-LR-56630	2.58989124969576	NA
273	AS-606083-LR-56130_AS-621371-LR-56630	1.74048052676578	1.67753352951119
274	AS-606087-LR-56130_AS-621375-LR-56630	0.927929794811701	0.925603119925795
275	AS-606089-LR-56130_AS-621377-LR-56630	1.07556588115245	1.07703275241695
276	AS-606091-LR-56130_AS-621379-LR-56630	0.855420011671974	0.85119379978575
277	AS-606093-LR-56130_AS-621381-LR-56630	2.79840487969611	NA
278	AS-606097-LR-56130_AS-621385-LR-56630	0.91248297134075	0.907608923593191
279	AS-606103-LR-56130_AS-621391-LR-56630	1.69631744015689	1.65862121431872
280	AS-606107-LR-56130_AS-621395-LR-56630	2.48378230469994	NA
281	AS-606113-LR-56130_AS-621401-LR-56630	3.29980945539319	NA
282	AS-606115-LR-56130_AS-621403-LR-56630	2.78185152639642	NA
283	AS-606117-LR-56130_AS-621405-LR-56630	2.24214624338017	NA
284	AS-606119-LR-56130_AS-621407-LR-56630	1.97003545340111	1.84577754842231
285	AS-606121-LR-56130_AS-621409-LR-56630	2.00195424471749	1.90095642632817
286	AS-606123-LR-56130_AS-621411-LR-56630	1.64373116098848	1.690511270727
287	AS-605973-LR-56130_AS-621261-LR-56630	0.821365419527499	0.8186655243678
288	AS-605975-LR-56130_AS-621263-LR-56630	2.67046250907845	NA
289	AS-606125-LR-56130_AS-621413-LR-56630	2.62154689317761	NA
290	AS-606127-LR-56130_AS-621415-LR-56630	2.61889470710167	NA
291	AS-606129-LR-56130_AS-621417-LR-56630	0.963646449173742	0.954886799473945
292	AS-606133-LR-56130_AS-621421-LR-56630	1.67129769005791	1.7140774192352
293	AS-606135-LR-56130_AS-621423-LR-56630	2.64356670393796	NA
294	AS-606137-LR-56130_AS-621425-LR-56630	0.982667348581418	0.986159539387875
295	AS-606139-LR-56130_AS-621427-LR-56630	0.757879484893557	0.757674246403266
296	AS-606141-LR-56130_AS-621429-LR-56630	0.499812258193474	0.49918361261498
297	AS-606143-LR-56130_AS-621431-LR-56630	3.07761174410434	NA
298	AS-606145-LR-56130_AS-621433-LR-56630	2.26153901638738	NA
299	AS-605983-LR-56130_AS-621271-LR-56630	3.00371341300737	NA
300	AS-605985-LR-56130_AS-621273-LR-56630	1.8476490692381	1.81423419329449
301	AS-605987-LR-56130_AS-621275-LR-56630	2.74993079136878	NA
302	AS-605989-LR-56130_AS-621277-LR-56630	3.29997861161667	NA
303	AS-605957-LR-56130_AS-621245-LR-56630	1.5356991538285	1.70016014919313
304	AS-605959-LR-56130_AS-621247-LR-56630	0.62598821050844	0.626704139956939
305	AS-605995-LR-56130_AS-621283-LR-56630	2.76531995497294	NA
306	AS-605997-LR-56130_AS-621285-LR-56630	2.67325569256419	NA
307	AS-606001-LR-56130_AS-621289-LR-56630	0.836042999515388	0.833750142614719
308	AS-606003-LR-56130_AS-621291-LR-56630	2.51875550514981	NA
309	AS-605961-LR-56130_AS-621249-LR-56630	1.71033054486226	1.68481001079884
310	AS-604735-LR-56221_AS-621486-LR-56645	5.03738137778157	NA
311	AS-604737-LR-56221_AS-621488-LR-56645	2.42399149743137	NA
312	AS-604743-LR-56221_AS-621494-LR-56645	3.38307760338613	NA
313	AS-604745-LR-56221_AS-621496-LR-56645	0.576076208351555	0.573650077610866
314	AS-604687-LR-56221_AS-621438-LR-56645	1.28246433281022	1.34760859203488
315	AS-604747-LR-56221_AS-621498-LR-56645	0.976708888129447	0.98716927632527
316	AS-604749-LR-56221_AS-621500-LR-56645	3.0946468826669	NA
317	AS-604751-LR-56221_AS-621502-LR-56645	1.40529877444666	1.43968522864063
318	AS-604753-LR-56221_AS-621504-LR-56645	2.9589549807976	NA
319	AS-604755-LR-56221_AS-621506-LR-56645	3.29339001629449	NA
320	AS-604759-LR-56221_AS-621510-LR-56645	2.68609173903224	NA
